adlist_id,user_fingerprint,key,count,rating
44007811,b5be59e6-5259-4d00-8118-f1bcbc6a893d,1,1,2.5
44014039,89b9ccb6-f7a3-4d2b-a950-0d9a72804e6c,1,2,2.5
44029651,29470a9d-d065-410c-8b35-31a598add551,1,1,2.5
44145711,f5e410aa-54b1-49fa-b177-74e1b0ec4bf8,1,1,2.5
44372762,cfa9f21d-51da-49bc-9f84-168defd1e98f,1,1,2.5
44372762,e103a952-e6a1-4d2d-bc1c-980b25cefb42,1,1,2.5
44417869,03ec0d30-ae73-4718-8f67-84d0c71bb3d6,1,6,5
44888845,3b3e2546-517e-4be6-9fd9-eabc7cb4671d,1,1,2.5
44890527,71b191f9-dad8-4ebf-833e-9c52777d9996,1,1,2.5
44991552,e103a952-e6a1-4d2d-bc1c-980b25cefb42,1,1,2.5
45168083,11bd997d-3fbc-4171-9620-851df209e347,1,1,2.5
45224319,9c2439d8-f296-4c3c-b4dd-132a2915dbff,1,1,2.5
45282428,18e72b17-58d6-4ca4-8e94-ce07ae923a6b,1,1,2.5
45288900,18e72b17-58d6-4ca4-8e94-ce07ae923a6b,1,1,2.5
45418912,9a669811-0bf0-4501-9690-c0b891c6c009,1,1,2.5
45575228,3618f309-2641-4646-ae4f-c3a7443df631,1,1,2.5
45669887,9a2c2d90-b3cc-42c8-834b-656e9c1de8e5,1,1,2.5
45697049,fabcea94-7518-44a2-b5d4-a8c3b8012aa6,1,2,2.5
45699810,4d588d34-b005-4e72-8144-c9f9b8fd842f,1,1,2.5
45706095,11bd997d-3fbc-4171-9620-851df209e347,1,1,2.5
45777928,c5c362dd-0301-4a32-8662-e47b5aacb212,1,1,2.5
45822537,fabcea94-7518-44a2-b5d4-a8c3b8012aa6,1,1,2.5
45845178,9a669811-0bf0-4501-9690-c0b891c6c009,1,2,2.5
45932734,425a2c49-db51-4375-ba74-6efa17754955,1,1,2.5
46039130,992307de-2250-40c5-8ed2-ab86094b8d4e,1,2,2.5
46061648,32593e71-f453-40bb-89eb-943b0bcd5dee,1,1,2.5
46484510,926da28c-000f-4676-a2ac-a24c348c0827,1,4,4
46583218,992307de-2250-40c5-8ed2-ab86094b8d4e,1,1,2.5
46652859,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,1,1,2.5
46713480,cfa9f21d-51da-49bc-9f84-168defd1e98f,1,1,2.5
46841637,425a2c49-db51-4375-ba74-6efa17754955,1,1,2.5
46872236,992307de-2250-40c5-8ed2-ab86094b8d4e,1,1,2.5
46920063,7a1a9772-f52f-4eb4-983e-7febf40f026d,1,1,2.5
46947804,6f722a30-15e6-4adf-8865-7c2ecd746650,1,2,2.5
47064814,3b3e2546-517e-4be6-9fd9-eabc7cb4671d,1,1,2.5
47064814,66b03ed0-809f-4fc4-8cd7-d7e3bf332e0b,1,1,2.5
47179108,a189cd10-865d-4940-9315-fae870dea434,1,1,2.5
47326352,68db2965-67c1-431d-bf5f-1a9c673f6394,1,3,3
47360167,7a1a9772-f52f-4eb4-983e-7febf40f026d,1,1,2.5
47574483,e15c2780-b03a-463e-aba9-76be81a3b62e,1,1,2.5
47574743,c5c362dd-0301-4a32-8662-e47b5aacb212,1,1,2.5
47784533,79628a58-b103-4164-92ca-1821ffb340f1,1,1,2.5
